,Модель,Цена,Год выпуска,Пробег,Привод,ЛС,Тип двигателя,Тип кузова,Коробка передач,Объём двигателя,Цвет,Марка,Класс,Налог
1055,Mazda 3 II (BL),790000,2010,181530,передний,150,Бензин,седан,автомат,2.0,белый,Mazda,1,6750
1056,Kia Cerato III Рестайлинг (Classic),1450000,2019,109120,передний,150,Бензин,седан,автомат,2.0,белый,Kia,2,6750
1057,Jeep Grand Cherokee II (WJ),580000,2002,254000,полный,258,Бензин,внедорожник 5 дв.,автомат,4.7,чёрный,Jeep,1,38700
1058,LADA (ВАЗ) 2104 4-speed,85000,1994,114256,задний,72,Бензин,универсал 5 дв.,механика,1.5,пурпурный,LADA,1,864
1059,Volkswagen Caddy IV,1790000,2015,172168,передний,102,Дизель,компактвэн,робот,1.6,коричневый,Volkswagen,3,2550
1060,Porsche Macan Turbo I,4250000,2014,83000,полный,400,Бензин,внедорожник 5 дв.,робот,3.6,серый,Porsche,4,60000
1061,Volkswagen Tiguan II,2606000,2020,79658,передний,150,Бензин,внедорожник 5 дв.,робот,1.4,коричневый,Volkswagen,3,6750
1062,Land Rover Range Rover Sport II Рестайлинг,7850000,2020,73503,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,синий,Land Rover,5,37350
1063,Chevrolet Captiva I Рестайлинг,1125000,2013,228000,полный,167,Бензин,внедорожник 5 дв.,автомат,2.4,чёрный,Chevrolet,2,7515
1064,Porsche Cayenne III,15950000,2022,146,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,белый,Porsche,5,153000
1065,Volkswagen Polo V Рестайлинг,1369000,2018,94525,передний,110,Бензин,седан,автомат,1.6,коричневый,Volkswagen,2,2750
1066,Toyota Land Cruiser 200 Series Рестайлинг 2,6980000,2019,117052,полный,249,Дизель,внедорожник 5 дв.,автомат,4.5,чёрный,Toyota,5,37350
1067,"Mercedes-Benz E-Класс 200 V (W213, S213, C238) Рестайлинг",6350000,2021,46929,полный,197,Бензин,купе-хардтоп,автомат,2.0,серый,Mercedes-Benz,5,19700
1068,Mercedes-Benz GLS 450 I (X166),4750000,2018,52000,полный,367,Бензин,внедорожник 5 дв.,автомат,3.0,серый,Mercedes-Benz,4,55050
1069,BMW X6 30d III (G06),11689000,2022,6005,полный,286,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,BMW,5,128700
1070,Volvo XC90 II Рестайлинг,6120000,2021,30457,полный,249,Бензин,внедорожник 5 дв.,автомат,2.0,коричневый,Volvo,5,37350
1071,Skoda Rapid I Рестайлинг,920000,2019,46621,передний,90,Бензин,лифтбек,механика,1.6,белый,Skoda,1,1080
1072,BMW 1 серии 116i I (E81/E82/E87/E88) Рестайлинг,670000,2010,260001,задний,115,Бензин,хэтчбек 5 дв.,автомат,1.6,белый,BMW,1,2875
1073,Renault Arkana I,1830000,2019,47412,полный,150,Бензин,внедорожник 5 дв.,вариатор,1.3,красный,Renault,3,6750
1074,Mercedes-Benz V-Класс L 220 d длинный II,7225000,2020,81755,полный,163,Дизель,минивэн,автомат,2.1,чёрный,Mercedes-Benz,5,14670
1075,Volkswagen Polo V Рестайлинг,1535000,2020,52621,передний,110,Бензин,седан,автомат,1.6,белый,Volkswagen,2,2750
1076,Toyota Land Cruiser 200 Series Рестайлинг 2,7480000,2018,80205,полный,249,Дизель,внедорожник 5 дв.,автомат,4.5,серый,Toyota,5,37350
1077,BMW X6 30d III (G06),11389000,2022,4262,полный,286,Дизель,внедорожник 5 дв.,автомат,3.0,белый,BMW,5,128700
1078,Porsche Cayenne III,13600000,2023,5,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,синий,Porsche,5,153000
1079,Skoda Octavia III (A7) Рестайлинг,1330000,2018,102181,передний,150,Бензин,лифтбек,робот,1.4,белый,Skoda,2,6750
1080,Tesla Model 3 Performance I,4350000,2020,21000,полный,462,Электро,седан,автомат,5.4,серый,Tesla,4,0
1081,Volkswagen Jetta VI Рестайлинг,1260000,2016,64727,передний,125,Бензин,седан,робот,1.4,белый,Volkswagen,2,4375
1082,Kia Cerato III,1105000,2014,130276,передний,130,Бензин,седан,автомат,1.6,синий,Kia,2,4550
1083,Mercedes-Benz V-Класс L 250 d длинный II,5245000,2018,100121,полный,190,Дизель,минивэн,автомат,2.1,чёрный,Mercedes-Benz,4,19000
1084,Mazda CX-5 I,1560000,2015,165163,передний,150,Бензин,внедорожник 5 дв.,автомат,2.0,синий,Mazda,2,6750
1085,Ford Focus II Рестайлинг,600000,2009,162000,передний,100,Бензин,хэтчбек 5 дв.,автомат,1.6,серый,Ford,1,2500
1086,Land Rover Range Rover IV Рестайлинг,9690999,2021,81121,полный,339,Дизель,внедорожник 5 дв.,автомат,4.4,синий,Land Rover,5,101700
1087,Toyota Land Cruiser 200 Series Рестайлинг 1,3900000,2014,173000,полный,235,Дизель,внедорожник 5 дв.,автомат,4.5,белый,Toyota,4,17625
1088,Lexus RX 350 II Рестайлинг,1300000,2006,167000,полный,276,Бензин,внедорожник 5 дв.,автомат,3.5,бежевый,Lexus,2,41400
1089,Land Rover Discovery V,4210000,2017,78732,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,зелёный,Land Rover,4,18675
1090,Nissan Teana I Рестайлинг,510000,2006,250960,передний,173,Бензин,седан,автомат,2.4,серый,Nissan,1,7785
1091,"Mercedes-Benz E-Класс 220 d V (W213, S213, C238) Рестайлинг",5990000,2021,12153,полный,194,Дизель,универсал 5 дв.,автомат,2.0,чёрный,Mercedes-Benz,4,19400
1092,Toyota Camry VII (XV50) Рестайлинг,1715000,2015,217818,передний,181,Бензин,седан,автомат,2.5,чёрный,Toyota,3,9050
1093,Hyundai ix35 I,1315000,2013,198450,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,коричневый,Hyundai,2,6750
1094,Audi A5 I (8T) Рестайлинг,1085000,2013,149366,передний,170,Бензин,купе,вариатор,1.8,чёрный,Audi,2,7650
1095,Land Rover Range Rover Sport II Рестайлинг,11290000,2021,25572,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Land Rover,5,56025
1096,Infiniti Q50 I,1665000,2015,107806,задний,211,Бензин,седан,автомат,2.0,красный,Infiniti,2,13715
1097,Volvo XC90 Recharge II Рестайлинг,6990000,2021,23605,полный,320,Гибрид,внедорожник 5 дв.,автомат,2.0,серый,Volvo,5,96000
1098,Volkswagen Golf VI,580000,2010,220000,передний,102,Бензин,хэтчбек 5 дв.,робот,1.6,белый,Volkswagen,1,2550
1099,Toyota Land Cruiser 200 Series Рестайлинг 2,7700000,2018,75468,полный,249,Дизель,внедорожник 5 дв.,автомат,4.5,белый,Toyota,5,37350
1100,Volkswagen Tiguan I,1060000,2011,213986,полный,170,Бензин,внедорожник 5 дв.,автомат,2.0,чёрный,Volkswagen,2,7650
1101,Toyota Land Cruiser 200 Series Рестайлинг 2,7330000,2018,92593,полный,249,Дизель,внедорожник 5 дв.,автомат,4.5,белый,Toyota,5,37350
1102,Mercedes-Benz GLS 350 d I (X166),5690000,2017,80561,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,серый,Mercedes-Benz,4,18675
1103,Land Rover Range Rover Sport II Рестайлинг,10999000,2021,26127,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Land Rover,5,56025
1104,Volvo XC90 II Рестайлинг,5870000,2020,60897,полный,249,Бензин,внедорожник 5 дв.,автомат,2.0,белый,Volvo,4,37350
1105,Land Rover Range Rover Sport II Рестайлинг,9900000,2021,87468,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Land Rover,5,37350
1106,Toyota Land Cruiser 200 Series Рестайлинг 2,7315000,2017,139607,полный,249,Дизель,внедорожник 5 дв.,автомат,4.5,белый,Toyota,5,18675
1107,Mercedes-Benz GLE Coupe 350 d II (C167),9990000,2020,21375,полный,249,Дизель,внедорожник 5 дв.,автомат,2.9,белый,Mercedes-Benz,5,37350
1108,Mercedes-Benz V-Класс L 250 d длинный II,8890000,2021,47980,полный,190,Дизель,минивэн,автомат,2.1,чёрный,Mercedes-Benz,5,19000
1109,Ferrari 458 Italia,16500000,2013,9600,задний,570,Бензин,купе,робот,4.5,жёлтый,Ferrari,5,256500
1110,Toyota Land Cruiser 200 Series Рестайлинг 2,6995000,2019,193800,полный,249,Дизель,внедорожник 5 дв.,автомат,4.5,чёрный,Toyota,5,37350
1111,Opel Antara I Рестайлинг,1116000,2013,161033,полный,184,Дизель,внедорожник 5 дв.,автомат,2.2,бежевый,Opel,2,9200
1112,Nissan X-Trail I Рестайлинг,580000,2006,168000,полный,140,Бензин,внедорожник 5 дв.,механика,2.0,серебристый,Nissan,1,4900
1113,BMW 1 серии 116i I (E81/E82/E87/E88) Рестайлинг,760000,2011,121000,задний,115,Бензин,хэтчбек 5 дв.,автомат,1.6,чёрный,BMW,1,2875
1114,"Mercedes-Benz E-Класс 200 IV (W212, S212, C207) Рестайлинг",2000000,2013,120000,задний,184,Бензин,седан,автомат,2.0,чёрный,Mercedes-Benz,3,9200
1115,Mercedes-Benz V-Класс L 220 d длинный II,6250000,2019,109850,полный,163,Дизель,минивэн,автомат,2.0,чёрный,Mercedes-Benz,5,14670
1116,Toyota Land Cruiser 200 Series Рестайлинг 2,6690000,2018,138474,полный,249,Дизель,внедорожник 5 дв.,автомат,4.5,белый,Toyota,5,37350
1117,Skoda Rapid I,650000,2014,141339,передний,75,Бензин,лифтбек,механика,1.2,синий,Skoda,1,900
1118,BMW X5 40d IV (G05),9186100,2021,22422,полный,340,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,BMW,5,102000
1119,Mercedes-Benz GLS 400 d II (X167),9050000,2019,72492,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,Mercedes-Benz,5,99000
1120,Mercedes-Benz GLE 300 d II (V167),8380000,2021,27098,полный,245,Дизель,внедорожник 5 дв.,автомат,2.0,чёрный,Mercedes-Benz,5,36750
1121,Volkswagen Polo V Рестайлинг,1310000,2018,44940,передний,110,Бензин,седан,автомат,1.6,белый,Volkswagen,2,2750
1122,Ford Focus II Рестайлинг,595000,2011,199800,передний,100,Бензин,хэтчбек 5 дв.,автомат,1.6,синий,Ford,1,2500
1123,Mercedes-Benz V-Класс XL 250 d экстра длинный II,26000000,2021,16,полный,190,Дизель,минивэн,автомат,2.1,чёрный,Mercedes-Benz,5,28500
1124,Land Rover Discovery IV,1600000,2011,329000,полный,245,Дизель,внедорожник 5 дв.,автомат,3.0,коричневый,Land Rover,2,18375
1125,Mercedes-Benz V-Класс L 250 d длинный II,6390000,2020,28912,полный,190,Дизель,минивэн,автомат,2.0,чёрный,Mercedes-Benz,5,19000
1126,Chevrolet Cobalt II Рестайлинг,1355000,2022,21,передний,106,Бензин,седан,автомат,1.5,белый,Chevrolet,2,2650
1127,Nissan Terrano III (D10),1580000,2018,95000,полный,143,Бензин,внедорожник 5 дв.,автомат,2.0,белый,Nissan,2,5005
1128,Mercedes-Benz GLS 400 d II (X167),10200000,2020,66300,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,Mercedes-Benz,5,148500
1129,Toyota Land Cruiser 200 Series Рестайлинг 2,7590000,2018,131471,полный,249,Дизель,внедорожник 5 дв.,автомат,4.5,чёрный,Toyota,5,37350
1130,Mercedes-Benz GLS 400 d II (X167),10850000,2020,28290,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,Mercedes-Benz,5,148500
1131,Volkswagen Jetta VI Рестайлинг,1679000,2018,66227,передний,150,Бензин,седан,робот,1.4,чёрный,Volkswagen,2,6750
1132,"Mercedes-Benz S-Класс 350 d Long VI (W222, C217) Рестайлинг",6145000,2018,134379,полный,249,Дизель,седан,автомат,2.9,чёрный,Mercedes-Benz,5,37350
1133,Chevrolet Tahoe IV,5870000,2020,75763,полный,426,Бензин,внедорожник 5 дв.,автомат,6.2,чёрный,Chevrolet,4,127800
1134,Dodge Durango III Рестайлинг 2,4899000,2021,34850,полный,295,Бензин,внедорожник 5 дв.,автомат,3.6,чёрный,Dodge,4,48675
1135,Haval Jolion I,2150000,2021,22169,передний,143,Бензин,внедорожник 5 дв.,робот,1.5,чёрный,Haval,3,5005
1136,Skoda Yeti I,919000,2012,152001,полный,152,Бензин,внедорожник 5 дв.,робот,1.8,белый,Skoda,1,6840
1137,Audi Q8 45 TDI I,8650000,2021,17526,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Audi,5,37350
1138,Volvo XC90 Recharge II Рестайлинг,7275000,2021,31889,полный,320,Гибрид,внедорожник 5 дв.,автомат,2.0,чёрный,Volvo,5,96000
1139,LADA (ВАЗ) Largus I,999000,2019,49592,передний,106,Бензин,фургон,механика,1.6,белый,LADA,2,2650
1140,Toyota Camry VIII (XV70),2599000,2019,76741,передний,181,Бензин,седан,автомат,2.5,белый,Toyota,3,9050
1141,Mercedes-Benz GLE 300 d II (V167),9150000,2022,33266,полный,245,Дизель,внедорожник 5 дв.,автомат,2.0,чёрный,Mercedes-Benz,5,36750
1142,Opel Insignia I Рестайлинг,1095000,2014,118458,передний,170,Бензин,седан,автомат,1.6,коричневый,Opel,2,7650
1143,Skoda Rapid I,710000,2015,147151,передний,75,Бензин,лифтбек,механика,1.2,синий,Skoda,1,900
1144,Mercedes-Benz M-Класс 350 II (W164) Рестайлинг,1150000,2010,245138,полный,272,Бензин,внедорожник 5 дв.,автомат,3.5,чёрный,Mercedes-Benz,2,40800
1145,Mercedes-Benz GLS 400 d II (X167),12225000,2020,48922,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,Mercedes-Benz,5,148500
1146,Hyundai Solaris I Рестайлинг,849000,2014,116572,передний,123,Бензин,хэтчбек 5 дв.,механика,1.6,чёрный,Hyundai,1,3075
1147,Volkswagen Touareg III,6780000,2021,23155,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,серый,Volkswagen,5,37350
1148,Land Rover Range Rover Sport II Рестайлинг,9850000,2020,40000,полный,525,Бензин,внедорожник 5 дв.,автомат,5.0,зелёный,Land Rover,5,157500
1149,Volkswagen Touareg III,6490000,2021,29511,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,серый,Volkswagen,5,37350
1150,Volkswagen Golf IV,230000,2003,230000,передний,75,Бензин,хэтчбек 3 дв.,механика,1.4,серебристый,Volkswagen,1,900
1151,Infiniti QX80 I Рестайлинг 3,8050000,2020,56471,полный,405,Бензин,внедорожник 5 дв.,автомат,5.6,серый,Infiniti,5,121500
1152,Lexus RX 300 IV Рестайлинг,5430000,2021,44204,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,белый,Lexus,4,35700
1153,Mercedes-Benz V-Класс L 220 d длинный II,9090000,2021,65655,полный,163,Дизель,минивэн,автомат,2.0,чёрный,Mercedes-Benz,5,14670
1154,Nissan Terrano III (D10),1400000,2018,37000,полный,143,Бензин,внедорожник 5 дв.,механика,2.0,серебристый,Nissan,2,5005
1155,Mercedes-Benz GLE 300 d II (V167),8335000,2019,34132,полный,245,Дизель,внедорожник 5 дв.,автомат,2.0,серебристый,Mercedes-Benz,5,36750
1156,Chevrolet Cruze I Рестайлинг,889000,2013,126614,передний,141,Бензин,седан,автомат,1.8,чёрный,Chevrolet,1,4935
1157,Kia Sorento IV,4200000,2020,39000,полный,202,Дизель,внедорожник 5 дв.,робот,2.2,чёрный,Kia,4,14443
1158,Chevrolet Aveo II,520000,2012,203000,передний,115,Бензин,седан,механика,1.6,серебристый,Chevrolet,1,2875
1159,Ford Explorer IV,849000,2008,250000,полный,212,Бензин,внедорожник 5 дв.,автомат,4.0,чёрный,Ford,1,13780
1160,Mercedes-Benz GLS 400 d II (X167),10445000,2020,37839,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,белый,Mercedes-Benz,5,148500
1161,Mercedes-Benz GLE 300 d II (V167),5850000,2019,94000,полный,245,Дизель,внедорожник 5 дв.,автомат,2.0,чёрный,Mercedes-Benz,4,36750
1162,Hyundai Creta I Рестайлинг,1680000,2021,2350,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,серый,Hyundai,2,3075
1163,BMW X5 30d IV (G05),9980000,2022,10088,полный,286,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,BMW,5,85800
1164,BMW X5 30d IV (G05),8430000,2020,34600,полный,265,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,BMW,5,79500
1165,Honda CR-V I,420000,1998,177566,полный,128,Бензин,внедорожник 5 дв.,автомат,2.0,зелёный,Honda,1,4480
1166,Lexus RX 300 IV Рестайлинг,5490000,2021,29941,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,серый,Lexus,4,35700
1167,BMW X3 20d xDrive III (G01),3950000,2019,55291,полный,190,Дизель,внедорожник 5 дв.,автомат,2.0,серебристый,BMW,4,9500
1168,Volkswagen Touareg III,6895000,2020,55975,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Volkswagen,5,37350
1169,Toyota Land Cruiser 200 Series Рестайлинг 2,6620000,2018,126154,полный,249,Дизель,внедорожник 5 дв.,автомат,4.5,чёрный,Toyota,5,37350
1170,Toyota Land Cruiser 200 Series Рестайлинг 2,6150000,2017,122234,полный,249,Дизель,внедорожник 5 дв.,автомат,4.5,белый,Toyota,5,18675
1171,Land Rover Range Rover Sport II Рестайлинг,5995000,2018,81904,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,чёрный,Land Rover,4,102000
1172,Lexus RX 300 IV Рестайлинг,5890000,2021,28851,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,серый,Lexus,4,35700
1173,Mercedes-Benz GLE Coupe 350 d II (C167),10490000,2021,42950,полный,249,Дизель,внедорожник 5 дв.,автомат,2.9,красный,Mercedes-Benz,5,56025
1174,Citroen C4 I Рестайлинг,459000,2010,100692,передний,120,Бензин,хэтчбек 5 дв.,автомат,1.6,серебристый,Citroen,1,3000
1175,Volkswagen Touareg III,6750000,2020,66909,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,синий,Volkswagen,5,37350
1176,BMW 5 серии 530d xDrive VII (G30/G31) Рестайлинг,6740000,2021,37993,полный,249,Дизель,седан,автомат,3.0,чёрный,BMW,5,37350
1177,Kia K5 III,3049000,2021,49074,передний,194,Бензин,седан,автомат,2.5,серый,Kia,3,10670
1178,Mercedes-Benz GLS 400 d II (X167),11990000,2020,22226,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,Mercedes-Benz,5,148500
1179,Audi A4 V (B9),2999000,2019,44643,передний,190,Дизель,седан,робот,2.0,чёрный,Audi,3,9500
1180,Volvo XC90 II Рестайлинг,6480000,2021,31957,полный,249,Бензин,внедорожник 5 дв.,автомат,2.0,коричневый,Volvo,5,37350
1181,Toyota Land Cruiser Prado 150 Series Рестайлинг 3,7990000,2023,10,полный,204,Дизель,внедорожник 5 дв.,автомат,2.8,серый,Toyota,5,26520
1182,BMW X5 30d IV (G05),10449000,2022,2638,полный,286,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,BMW,5,128700
1183,Volvo XC90 Recharge II Рестайлинг,6990000,2021,34007,полный,320,Гибрид,внедорожник 5 дв.,автомат,2.0,чёрный,Volvo,5,96000
1184,Mercedes-Benz V-Класс L 220 d длинный II,7590000,2021,77089,полный,163,Дизель,минивэн,автомат,2.1,чёрный,Mercedes-Benz,5,14670
1185,Volvo XC90 Recharge II Рестайлинг,6895000,2021,29920,полный,320,Гибрид,внедорожник 5 дв.,автомат,2.0,серый,Volvo,5,96000
1186,Mercedes-Benz GLE Coupe 350 d I (C292),7070000,2019,29257,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,серый,Mercedes-Benz,5,37350
1187,Jeep Grand Cherokee IV (WK2) Рестайлинг,4995000,2020,51000,полный,250,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Jeep,4,41250
1188,BMW X4 20i I (F26),3300000,2016,54300,полный,184,Бензин,внедорожник 5 дв.,автомат,2.0,белый,BMW,4,9200
1189,Lexus RX 300 IV Рестайлинг,6000000,2020,45000,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,серый,Lexus,5,35700
1190,BMW X5 30d IV (G05),6825000,2019,54000,полный,265,Дизель,внедорожник 5 дв.,автомат,3.0,белый,BMW,5,79500
1191,Kia Carnival III,2880000,2019,87000,передний,202,Дизель,минивэн,автомат,2.2,серый,Kia,3,13130
1192,Hyundai Getz I Рестайлинг,680000,2008,30000,передний,97,Бензин,хэтчбек 5 дв.,механика,1.4,серебристый,Hyundai,1,1164
1193,Porsche Cayenne III,13300000,2022,5,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,красный,Porsche,5,153000
1194,Audi Q5 45 TFSI II (FY) Рестайлинг,5514000,2021,61000,полный,249,Бензин,внедорожник 5 дв.,робот,2.0,серебристый,Audi,4,37350
1195,Ford Kuga II,1140000,2013,153000,полный,140,Дизель,внедорожник 5 дв.,робот,2.0,чёрный,Ford,2,4900
1196,Hyundai Palisade I,4420000,2020,22000,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,синий,Hyundai,4,14300
1197,Mercedes-Benz GLS 500 I (X166),5245000,2019,108722,полный,455,Бензин,внедорожник 5 дв.,автомат,4.7,чёрный,Mercedes-Benz,4,136500
1198,Porsche Panamera 4 II,10850000,2020,17726,полный,330,Бензин,хэтчбек 5 дв.,робот,3.0,чёрный,Porsche,5,148500
1199,Volkswagen Golf VII,975000,2014,166000,передний,122,Бензин,хэтчбек 5 дв.,робот,1.4,серебристый,Volkswagen,1,3050
1200,Mercedes-Benz G-Класс 350 d III (W463),13750000,2020,110500,полный,249,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,Mercedes-Benz,5,56025
1201,BMW X5 40d IV (G05),13390000,2022,13625,полный,340,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,BMW,5,153000
1202,Hyundai Grand Starex I Рестайлинг 2,3171000,2018,62000,задний,175,Дизель,минивэн,автомат,2.5,чёрный,Hyundai,4,8750
1203,Citroen Berlingo I Рестайлинг,370000,2007,328000,передний,75,Бензин,компактвэн,механика,1.4,серый,Citroen,1,900
1204,MINI Countryman Cooper I,1229000,2013,126428,передний,122,Бензин,внедорожник 5 дв.,автомат,1.6,белый,MINI,2,3050
1205,Skoda Rapid I,950000,2016,68049,передний,90,Бензин,лифтбек,механика,1.6,белый,Skoda,1,1080
1206,Nissan Qashqai II,1880000,2017,38026,передний,144,Бензин,внедорожник 5 дв.,вариатор,2.0,серый,Nissan,3,5040
1207,Jaguar XF I Рестайлинг,1370000,2014,110000,задний,240,Бензин,седан,автомат,2.0,белый,Jaguar,2,18000
1208,Mercedes-Benz GLE AMG 63 AMG S II (V167),13999000,2020,20261,полный,612,Бензин,внедорожник 5 дв.,автомат,4.0,серый,Mercedes-Benz,5,275400
1209,Skoda Rapid I Рестайлинг,1249000,2018,165819,передний,125,Бензин,лифтбек,робот,1.4,красный,Skoda,2,4375
1210,Hyundai ix35 I Рестайлинг,1425000,2014,99800,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,коричневый,Hyundai,2,6750
1211,Hyundai Solaris II Рестайлинг,1819000,2022,25609,передний,123,Бензин,седан,автомат,1.6,серый,Hyundai,3,3075
1212,Geely Coolray I,1880000,2021,42300,передний,150,Бензин,внедорожник 5 дв.,робот,1.5,красный,Geely,3,6750
1213,Aston Martin DB9 I Рестайлинг 2,7900000,2013,19000,задний,517,Бензин,купе,автомат,5.9,зелёный,Aston,5,77550
1214,Kia Cerato IV,1855000,2020,38000,передний,150,Бензин,седан,автомат,2.0,синий,Kia,3,6750
1215,Hyundai Accent ТагАЗ II,238000,2004,288000,передний,90,Бензин,седан,механика,1.5,красный,Hyundai,1,1080
1216,Skoda Rapid I,940000,2015,73288,передний,90,Бензин,лифтбек,механика,1.6,синий,Skoda,1,1080
1217,Lexus ES 250 VII,5100000,2021,19432,передний,200,Бензин,седан,автомат,2.5,чёрный,Lexus,4,26000
1218,Mercedes-Benz V-Класс L 250 d длинный II,5800000,2018,72975,полный,190,Дизель,минивэн,автомат,2.1,синий,Mercedes-Benz,4,19000
1219,Audi A6 II (C5) Рестайлинг,549000,2003,138233,полный,220,Бензин,седан,механика,3.0,серебристый,Audi,1,14300
1220,Haval F7 I,2249000,2021,75983,полный,190,Бензин,внедорожник 5 дв.,робот,2.0,белый,Haval,3,9500
1221,Tesla Model S P85D I,3290000,2015,160000,полный,700,Электро,лифтбек,автомат,8.2,чёрный,Tesla,4,0
1222,Renault Logan I Рестайлинг,670000,2013,8295,передний,75,Бензин,седан,механика,1.4,серебристый,Renault,1,900
1223,Jeep Grand Cherokee IV (WK2) Рестайлинг,3000000,2013,113213,полный,243,Дизель,внедорожник 5 дв.,автомат,3.0,белый,Jeep,3,18225
1224,BMW X5 30d IV (G05),6450000,2019,53000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,синий,BMW,5,37350
1225,Mercedes-Benz GLS 350 d I (X166),5550000,2017,89116,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Mercedes-Benz,4,18675
1226,Land Rover Range Rover Long IV,4079000,2015,215000,полный,339,Дизель,внедорожник 5 дв.,автомат,4.4,чёрный,Land Rover,4,50850
1227,Hyundai i40 I,1200000,2014,122760,передний,150,Бензин,седан,автомат,2.0,серебристый,Hyundai,2,6750
1228,Mitsubishi Pajero IV Рестайлинг 1,1790000,2011,231000,полный,200,Дизель,внедорожник 5 дв.,автомат,3.2,чёрный,Mitsubishi,3,13000
1229,BMW X3 20d xDrive III (G01),4950000,2019,31199,полный,190,Дизель,внедорожник 5 дв.,автомат,2.0,белый,BMW,4,9500
1230,Opel Astra J,650000,2011,115230,передний,115,Бензин,универсал 5 дв.,автомат,1.6,серый,Opel,1,2875
1231,Renault Logan Stepway II Рестайлинг,1095000,2019,35500,передний,113,Бензин,седан,вариатор,1.6,коричневый,Renault,2,2825
1232,Toyota Hilux Arctic Trucks AT35 VIII Рестайлинг,6490000,2022,5,полный,200,Дизель,пикап двойная кабина,автомат,2.8,серый,Toyota,5,26000
1233,Kia Sorento IV,5990000,2023,24,полный,199,Дизель,внедорожник 5 дв.,робот,2.2,чёрный,Kia,4,19900
1234,Kia Ceed II,855000,2014,146000,передний,129,Бензин,хэтчбек 3 дв.,автомат,1.6,красный,Kia,1,4515
1235,Tesla Model X Long Range I Рестайлинг,12500000,2022,10,полный,670,Электро,внедорожник 5 дв.,автомат,7.9,белый,Tesla,5,0
1236,Nissan Note I Рестайлинг,699000,2013,83000,передний,88,Бензин,хэтчбек 5 дв.,механика,1.4,коричневый,Nissan,1,1056
1237,Porsche Cayenne Turbo I Рестайлинг (957),1499000,2008,116450,полный,500,Бензин,внедорожник 5 дв.,автомат,4.8,чёрный,Porsche,2,75000
1238,Toyota RAV4 III (XA30) Рестайлинг,1279000,2011,176000,полный,158,Бензин,внедорожник 5 дв.,вариатор,2.0,коричневый,Toyota,2,7110
1239,Lexus RX 300 IV Рестайлинг,5090000,2019,76127,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,серый,Lexus,4,35700
1240,Kia Sportage III Рестайлинг,1300000,2014,94000,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,серебристый,Kia,2,6750
1241,Skoda Rapid I Рестайлинг,1399000,2018,104273,передний,110,Бензин,лифтбек,автомат,1.6,белый,Skoda,2,2750
1242,Mazda 3 I (BK) Рестайлинг,440000,2007,225000,передний,105,Бензин,седан,механика,1.6,красный,Mazda,1,2625
1243,Toyota Camry Prominent V30,350000,1992,270000,передний,140,Бензин,седан,автомат,2.0,белый,Toyota,1,4900
1244,Nissan Almera II (N16),240000,2002,290000,передний,90,Бензин,седан,механика,1.5,красный,Nissan,1,1080
