,Модель,Цена,Год выпуска,Пробег,Привод,ЛС,Тип двигателя,Тип кузова,Коробка передач,Объем двигателя,Цвет,Запас хода
3107,Porsche Boxster S II (987),2377000,2004,77000,задний,280,Бензин,родстер,автомат,3.2,серебристый,
3108,Skoda Rapid I Рестайлинг,1015000,2017,155809,передний,125,Бензин,лифтбек,робот,1.4,синий,
3109,Volkswagen Polo V Рестайлинг,1170000,2018,79053,передний,110,Бензин,седан,автомат,1.6,серебристый,
3110,Skoda Octavia III (A7) Рестайлинг,1670000,2018,114680,передний,110,Бензин,лифтбек,автомат,1.6,белый,
3111,Volvo V40 II Рестайлинг,1799000,2018,86000,передний,120,Дизель,хэтчбек 5 дв.,автомат,2.0,серый,
3112,Jaguar XJ IV (X351) Рестайлинг,3450000,2017,90000,полный,340,Бензин,седан,автомат,3.0,чёрный,
3113,Hyundai Creta I,1980000,2019,57386,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
3114,Skoda Octavia III (A7) Рестайлинг,1650000,2019,115089,передний,150,Бензин,лифтбек,робот,1.4,белый,
3115,Volkswagen Polo V Рестайлинг,1260000,2018,46853,передний,110,Бензин,седан,автомат,1.6,белый,
3116,Toyota Avensis II Рестайлинг,900000,2008,54000,передний,129,Бензин,седан,автомат,1.8,коричневый,
3117,Toyota Camry VI (XV40),999999,2007,113000,передний,167,Бензин,седан,автомат,2.4,серый,
3118,Hyundai Creta I,1680000,2018,100256,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
3119,LADA (ВАЗ) 2115,100000,2005,150000,передний,81,Бензин,седан,механика,1.6,серый,
3120,Hyundai Creta I,1920000,2018,74709,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
3121,Skoda Karoq DSG6 I,2345000,2020,43500,полный,150,Бензин,внедорожник 5 дв.,робот,1.4,серый,
3122,BMW X7 30d I (G07),9800000,2019,80000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
3123,Skoda Octavia DSG7 II (A5) Рестайлинг,749000,2011,219849,передний,152,Бензин,лифтбек,робот,1.8,серый,
3124,Renault Logan II Рестайлинг,900000,2018,80423,передний,82,Бензин,седан,механика,1.6,белый,
3125,Volkswagen Polo V Рестайлинг,1199000,2017,67959,передний,110,Бензин,седан,автомат,1.6,белый,
3126,Hyundai Creta I,1800000,2018,95178,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
3127,Skoda Octavia III (A7) Рестайлинг,1599000,2018,129049,передний,110,Бензин,лифтбек,автомат,1.6,белый,
3128,Volkswagen Polo V Рестайлинг,929000,2017,202769,передний,110,Бензин,седан,автомат,1.6,белый,
3129,Land Rover Discovery IV,1926000,2012,221000,полный,245,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
3130,Lexus LX 570 III Рестайлинг 2,10500000,2019,76736,полный,367,Бензин,внедорожник 5 дв.,автомат,5.7,чёрный,
3131,Land Rover Range Rover Velar I,5690000,2021,74000,полный,249,Бензин,внедорожник 5 дв.,автомат,2.0,синий,
3132,Audi A6 II (C5),449000,2000,200356,передний,150,Бензин,универсал 5 дв.,автомат,1.8,синий,
3133,BMW 6 серии Gran Turismo 620d xDrive IV (G32),4700000,2018,31972,полный,190,Дизель,лифтбек,автомат,2.0,чёрный,
3134,Volkswagen Polo V Рестайлинг,1299000,2018,65767,передний,110,Бензин,седан,автомат,1.6,белый,
3135,Skoda Octavia III (A7) Рестайлинг,1420000,2018,175061,передний,150,Бензин,лифтбек,робот,1.4,белый,
3136,Volkswagen Polo V Рестайлинг,1199000,2017,100142,передний,110,Бензин,седан,автомат,1.6,чёрный,
3137,BMW 5 серии 520d VII (G30/G31),2950000,2019,186102,задний,190,Дизель,седан,автомат,2.0,чёрный,
3138,"Mercedes-Benz S-Класс AMG 63 AMG III (W222, C217) Рестайлинг",24500000,2018,40252,полный,612,Бензин,кабриолет,автомат,4.0,серый,
3139,Volkswagen Polo V Рестайлинг,1290000,2018,63545,передний,110,Бензин,седан,автомат,1.6,белый,
3140,Nissan X-Trail III Рестайлинг,2790000,2021,86500,полный,171,Бензин,внедорожник 5 дв.,вариатор,2.5,серый,
3141,Skoda Superb III Рестайлинг,2150000,2019,194998,передний,190,Бензин,лифтбек,робот,2.0,коричневый,
3142,Hyundai Creta II,2170000,2021,26959,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
3143,Lexus LX 600 IV,17000000,2022,63,полный,415,Бензин,внедорожник 5 дв.,автомат,3.5,серый,
3144,Volkswagen Polo V Рестайлинг,1200000,2017,81069,передний,110,Бензин,седан,автомат,1.6,белый,
3145,Volkswagen Polo V Рестайлинг,1300000,2018,50251,передний,110,Бензин,седан,автомат,1.6,серебристый,
3146,"Mercedes-Benz S-Класс AMG 63 AMG III (W222, C217)",19500000,2017,17743,полный,585,Бензин,кабриолет,автомат,5.5,белый,
3147,Hyundai Creta I,1750000,2018,88492,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
3148,Hyundai Creta I,1740000,2018,81959,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
3149,BMW X1 20d xDrive II (F48),2250000,2017,100000,полный,190,Дизель,внедорожник 5 дв.,автомат,2.0,серебристый,
3150,Skoda Octavia III (A7) Рестайлинг,1670000,2018,114680,передний,110,Бензин,лифтбек,автомат,1.6,белый,
3151,Cadillac Escalade ESV V,18500000,2022,7,полный,420,Бензин,внедорожник 5 дв.,автомат,6.2,чёрный,
3152,Hyundai Creta I,1980000,2019,57386,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
3153,Ford Focus I Рестайлинг,85000,2004,180000,передний,98,Бензин,хэтчбек 5 дв.,механика,1.6,чёрный,
3154,Skoda Octavia III (A7) Рестайлинг,1650000,2019,115089,передний,150,Бензин,лифтбек,робот,1.4,белый,
3155,Mercedes-Benz Maybach S-Класс 500 I (X222),6100000,2017,66000,полный,455,Бензин,седан,автомат,4.7,чёрный,
3156,Volkswagen Polo V Рестайлинг,1260000,2018,46853,передний,110,Бензин,седан,автомат,1.6,белый,
3157,Kia Mohave I Рестайлинг 2,4400000,2020,31000,полный,260,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
3158,Hyundai Creta I,1680000,2018,100256,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
3159,Hyundai Creta I,1920000,2018,74709,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
3160,Skoda Karoq DSG6 I,2345000,2020,43500,полный,150,Бензин,внедорожник 5 дв.,робот,1.4,серый,
3161,Skoda Octavia DSG7 II (A5) Рестайлинг,749000,2011,219849,передний,152,Бензин,лифтбек,робот,1.8,серый,
3162,Renault Logan II Рестайлинг,900000,2018,80423,передний,82,Бензин,седан,механика,1.6,белый,
3163,Volkswagen Polo V Рестайлинг,1199000,2017,67959,передний,110,Бензин,седан,автомат,1.6,белый,
3164,Hyundai Creta I,1800000,2018,95178,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
3165,Skoda Octavia III (A7) Рестайлинг,1599000,2018,129049,передний,110,Бензин,лифтбек,автомат,1.6,белый,
3166,LADA (ВАЗ) Priora I,235000,2009,287278,передний,81,Бензин,седан,механика,1.6,серый,
3167,Volkswagen Polo V Рестайлинг,929000,2017,202769,передний,110,Бензин,седан,автомат,1.6,белый,
3168,Land Rover Discovery IV,1926000,2012,221000,полный,245,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
3169,Land Rover Range Rover Velar I,5690000,2021,74000,полный,249,Бензин,внедорожник 5 дв.,автомат,2.0,синий,
3170,Volkswagen Polo V Рестайлинг,1299000,2018,65767,передний,110,Бензин,седан,автомат,1.6,белый,
3171,BMW 6 серии Gran Turismo 620d xDrive IV (G32),4700000,2018,31972,полный,190,Дизель,лифтбек,автомат,2.0,чёрный,
3172,Skoda Octavia III (A7) Рестайлинг,1420000,2018,175061,передний,150,Бензин,лифтбек,робот,1.4,белый,
3173,Ford Focus II Рестайлинг,490000,2008,250000,передний,80,Бензин,хэтчбек 3 дв.,механика,1.4,белый,
3174,Volkswagen Polo V Рестайлинг,1199000,2017,100142,передний,110,Бензин,седан,автомат,1.6,чёрный,
3175,Volkswagen Polo V Рестайлинг,1290000,2018,63545,передний,110,Бензин,седан,автомат,1.6,белый,
3176,Nissan X-Trail III Рестайлинг,2790000,2021,86500,полный,171,Бензин,внедорожник 5 дв.,вариатор,2.5,серый,
3177,Land Rover Range Rover Sport II Рестайлинг,6900000,2018,97000,полный,525,Бензин,внедорожник 5 дв.,автомат,5.0,красный,
3178,Skoda Superb III Рестайлинг,2150000,2019,194998,передний,190,Бензин,лифтбек,робот,2.0,коричневый,
3179,Hyundai Creta II,2170000,2021,26959,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
3180,Volkswagen Polo V Рестайлинг,1200000,2017,81069,передний,110,Бензин,седан,автомат,1.6,белый,
3181,Volkswagen Polo V Рестайлинг,1300000,2018,50251,передний,110,Бензин,седан,автомат,1.6,серебристый,
3182,Kia Cerato IV Рестайлинг,2950000,2022,11711,передний,150,Бензин,седан,автомат,2.0,белый,
3183,Skoda Rapid I Рестайлинг,1370000,2018,84371,передний,110,Бензин,лифтбек,автомат,1.6,белый,
3184,Porsche Boxster S II (987),2377000,2004,77000,задний,280,Бензин,родстер,автомат,3.2,серебристый,
3185,Chevrolet Niva I Рестайлинг,660000,2017,115000,полный,80,Бензин,внедорожник 5 дв.,механика,1.7,зелёный,
3186,Volvo V40 II Рестайлинг,1799000,2018,86000,передний,120,Дизель,хэтчбек 5 дв.,автомат,2.0,серый,
3187,Lexus LX 570 III Рестайлинг 2,8800000,2019,87662,полный,367,Бензин,внедорожник 5 дв.,автомат,5.7,белый,
3188,Audi A6 II (C5),449000,2000,200356,передний,150,Бензин,универсал 5 дв.,автомат,1.8,синий,
3189,Hyundai Creta II,2035000,2021,20599,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
3190,BMW 5 серии 520d VII (G30/G31),2950000,2019,186102,задний,190,Дизель,седан,автомат,2.0,чёрный,
3191,Kia Rio X-Line IV,1509000,2019,75000,передний,123,Бензин,хэтчбек 5 дв.,автомат,1.6,белый,
3192,Mercedes-Benz GL-Класс 350 CDI BlueTEC II (X166),3095000,2014,149589,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
3193,Mercedes-Benz CLS 400 II (C218) Рестайлинг,2128000,2015,180500,полный,333,Бензин,универсал 5 дв.,автомат,3.0,серый,
3194,"Mercedes-Benz S-Класс AMG 63 AMG III (W222, C217) Рестайлинг",24500000,2018,40252,полный,612,Бензин,кабриолет,автомат,4.0,серый,
3195,BMW X7 M60i I (G07) Рестайлинг,19000000,2022,50,полный,530,Бензин,внедорожник 5 дв.,автомат,4.4,серый,
3196,EXEED TXL I Рестайлинг,3520000,2022,1647,полный,186,Бензин,внедорожник 5 дв.,робот,1.6,фиолетовый,
3197,Lexus LX 600 IV,17000000,2022,63,полный,415,Бензин,внедорожник 5 дв.,автомат,3.5,серый,
3198,Bentley Bentayga Speed I,22900000,2019,9400,полный,635,Бензин,внедорожник 5 дв.,автомат,6.0,синий,
3199,Bentley Continental GT II,6999000,2012,14900,полный,507,Бензин,купе,автомат,4.0,чёрный,
3200,"Mercedes-Benz S-Класс AMG 63 AMG III (W222, C217)",19500000,2017,17743,полный,585,Бензин,кабриолет,автомат,5.5,белый,
3201,Infiniti FX37 II (S51),1579500,2010,122500,полный,333,Бензин,внедорожник 5 дв.,автомат,3.7,чёрный,
3202,Renault Symbol I Рестайлинг 2,300000,2007,256000,передний,98,Бензин,седан,автомат,1.4,чёрный,
3203,Mercedes-Benz GLC 250 d I (X253),3010000,2017,136860,полный,204,Дизель,внедорожник 5 дв.,автомат,2.1,чёрный,
3204,BMW 5 серии 530d VII (G30/G31),3400000,2018,65529,задний,265,Дизель,универсал 5 дв.,автомат,3.0,синий,
3205,BMW X5 M III (F95),12350000,2021,22707,полный,600,Бензин,внедорожник 5 дв.,автомат,4.4,синий,
3206,BMW 3 серии 320i VII (G2x),2890000,2020,80000,задний,184,Бензин,седан,автомат,2.0,синий,
3207,Mercedes-Benz V-Класс L 250 d длинный II,8599000,2021,39313,полный,190,Дизель,минивэн,автомат,2.1,чёрный,
3208,Porsche Boxster S IV 718 (982),5790000,2016,43203,задний,350,Бензин,родстер,робот,2.5,белый,
3209,Lexus LX 570 III Рестайлинг 2,10500000,2019,76736,полный,367,Бензин,внедорожник 5 дв.,автомат,5.7,чёрный,
3210,BMW 1 серии 118i I (E81/E82/E87/E88) Рестайлинг,779000,2011,160761,задний,136,Бензин,хэтчбек 3 дв.,автомат,2.0,красный,
3211,Land Rover Range Rover Evoque 6-speed I,1879000,2013,170500,полный,150,Дизель,внедорожник 5 дв.,автомат,2.2,красный,
3212,Kia Sorento II Рестайлинг,2000000,2019,189549,полный,175,Бензин,внедорожник 5 дв.,автомат,2.4,белый,
3213,Kia Rio IV,1150000,2019,65000,передний,123,Бензин,седан,автомат,1.6,белый,
3214,Ford F-150 Raptor SuperCrew Raptor XIII Рестайлинг,9700000,2020,16400,полный,450,Бензин,пикап двойная кабина,автомат,3.5,чёрный,
3215,Porsche Boxster GTS 4.0 IV 718 (982),13975000,2022,23,задний,400,Бензин,родстер,робот,4.0,чёрный,
3216,BMW X7 40d I (G07) Рестайлинг,15499000,2022,20,полный,340,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
3217,Mercedes-Benz GL-Класс 500 II (X166),3000000,2013,104000,полный,435,Бензин,внедорожник 5 дв.,автомат,4.7,белый,
3218,Toyota Sienna III,2099000,2013,126000,полный,266,Бензин,минивэн,автомат,3.5,серый,
3219,Tesla Model Y Performance I,6050000,2022,7800,полный,450,Электро,внедорожник 5 дв.,,,чёрный,Заряд на 451 км
3220,Volkswagen Touareg I,755000,2004,346838,полный,220,Бензин,внедорожник 5 дв.,автомат,3.2,серый,
3221,Land Rover Range Rover Sport II Рестайлинг,6900000,2018,97000,полный,525,Бензин,внедорожник 5 дв.,автомат,5.0,красный,
3222,Skoda Kodiaq I,3100000,2020,98009,полный,180,Бензин,внедорожник 5 дв.,робот,2.0,серый,
3223,Volkswagen Passat B8,2780000,2019,62631,передний,150,Бензин,седан,робот,1.4,белый,
3224,Porsche Boxster S IV 718 (982),6790000,2016,21857,задний,350,Бензин,родстер,робот,2.5,красный,
3225,Volkswagen Golf VII,1670000,2016,75602,передний,110,Бензин,хэтчбек 5 дв.,автомат,1.6,серый,
3226,Volvo XC90 II,4050000,2017,101054,полный,235,Дизель,внедорожник 5 дв.,автомат,2.0,коричневый,
3227,Mercedes-Benz GLC Coupe 220 d I (C253) Рестайлинг,6225000,2021,10155,полный,194,Дизель,внедорожник 5 дв.,автомат,2.0,серый,
3228,Mitsubishi Pajero Sport III Рестайлинг,2900000,2019,59592,полный,181,Дизель,внедорожник 5 дв.,механика,2.4,белый,
3229,Audi Q5 Sportback 45 TFSI I (FY),5990000,2021,27729,полный,249,Бензин,внедорожник 5 дв.,робот,2.0,белый,
3230,BMW X5 M50d III (F15),3895000,2016,115271,полный,381,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
3231,Kia Rio X IV Рестайлинг,1915000,2022,13281,передний,123,Бензин,хэтчбек 5 дв.,автомат,1.6,белый,
3232,Porsche Cayenne Diesel II Рестайлинг (958),3699000,2014,136569,полный,245,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
3233,Kia Cerato IV Рестайлинг,2950000,2022,11711,передний,150,Бензин,седан,автомат,2.0,белый,
3234,BMW 7 серии 730d xDrive VI (G11/G12) Рестайлинг,5600000,2019,86915,полный,249,Дизель,седан,автомат,3.0,чёрный,
3235,Volvo XC90 I Рестайлинг,1670000,2013,147057,полный,200,Дизель,внедорожник 5 дв.,автомат,2.4,серый,
3236,Audi A6 allroad III (C7),2144800,2013,211964,полный,245,Дизель,универсал 5 дв.,робот,3.0,чёрный,
3237,Porsche Panamera 4S II Рестайлинг,17100000,2023,100,полный,450,Бензин,хэтчбек 5 дв.,робот,2.9,чёрный,
3238,Toyota Land Cruiser 76 70 Series Рестайлинг,6599000,2022,27,полный,228,Бензин,внедорожник 5 дв.,механика,4.0,белый,
3239,Fiat Doblo I Рестайлинг,550000,2011,162400,передний,77,Бензин,компактвэн,механика,1.4,серый,
3240,"Mercedes-Benz CLA 200 I (C117, X117) Рестайлинг",1680000,2017,115862,передний,150,Бензин,седан,робот,1.6,синий,
3241,Hyundai Palisade I,3650000,2018,72000,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,серый,
3242,Audi A6 40 TDI V (C8),3797000,2019,60000,полный,204,Дизель,седан,робот,2.0,белый,
3243,Toyota Camry US Market VIII (XV70) Рестайлинг,3180000,2022,34006,передний,203,Бензин,седан,автомат,2.5,белый,
3244,Kia Sportage IV Рестайлинг,2300000,2019,90000,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,чёрный,
3245,Kia Ceed II Рестайлинг,1075000,2016,150000,передний,130,Бензин,хэтчбек 5 дв.,автомат,1.6,красный,
3246,Volvo XC90 II,5100000,2019,66692,полный,235,Дизель,внедорожник 5 дв.,автомат,2.0,бежевый,
3247,Land Rover Range Rover IV,4280000,2015,172289,полный,339,Дизель,внедорожник 5 дв.,автомат,4.4,чёрный,
3248,Kia Mohave I Рестайлинг 2,4400000,2020,31000,полный,260,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
3249,Toyota Land Cruiser Prado 150 Series Рестайлинг 1,2825000,2016,151822,полный,163,Бензин,внедорожник 5 дв.,механика,2.7,белый,
3250,Mercedes-Benz V-Класс 300 d EXOBILITE экстра длинный II,14000000,2022,20,полный,237,Дизель,минивэн,автомат,2.0,чёрный,
3251,Skoda Kodiaq I,2450000,2020,54588,передний,150,Бензин,внедорожник 5 дв.,робот,1.4,серый,
3252,"Mercedes-Benz S-Класс 500 Long VI (W222, C217)",2290000,2014,235307,полный,455,Бензин,седан,автомат,4.7,чёрный,
3253,Mercedes-Benz GL-Класс 500 II (X166),2499000,2013,141583,полный,435,Бензин,внедорожник 5 дв.,автомат,4.7,чёрный,
3254,Land Rover Range Rover Velar I,3930000,2018,93825,полный,180,Дизель,внедорожник 5 дв.,автомат,2.0,белый,
3255,Ford Mustang VI Рестайлинг,4100000,2019,50000,задний,466,Бензин,купе,автомат,5.0,серебристый,
3256,Land Rover Range Rover IV Рестайлинг,9990000,2021,41475,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,серый,
3257,Lexus LS 500 V,6750000,2018,60460,полный,421,Бензин,седан,автомат,3.4,чёрный,
3258,Audi A6 IV (C7) Рестайлинг,1929000,2015,151523,полный,245,Дизель,седан,робот,3.0,серый,
3259,Land Rover Range Rover Velar I,8788000,2021,16500,полный,250,Бензин,внедорожник 5 дв.,автомат,2.0,чёрный,
3260,Toyota Fortuner II Рестайлинг,3950000,2022,118,полный,166,Бензин,внедорожник 5 дв.,автомат,2.7,чёрный,
3261,Audi SQ7 I (4M) Рестайлинг,10650000,2020,48659,полный,422,Дизель,внедорожник 5 дв.,автомат,4.0,серый,
3262,Honda CR-V III,1115000,2008,212025,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,красный,
3263,Porsche Cayenne Diesel II (958),2530000,2013,162000,полный,245,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
3264,Kia Sportage IV Рестайлинг,1825000,2018,94000,полный,184,Бензин,внедорожник 5 дв.,автомат,2.4,белый,
3265,Porsche Cayenne III,6400000,2018,99000,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,чёрный,
3266,Skoda Kodiaq I,3100000,2020,98009,полный,180,Бензин,внедорожник 5 дв.,робот,2.0,серый,
3267,Volkswagen Passat B8,2780000,2019,62631,передний,150,Бензин,седан,робот,1.4,белый,
3268,"Mercedes-Benz S-Класс 560 Long VI (W222, C217) Рестайлинг",7200000,2017,29500,полный,469,Бензин,седан,автомат,4.0,чёрный,
3269,Porsche Boxster S IV 718 (982),6790000,2016,21857,задний,350,Бензин,родстер,робот,2.5,красный,
3270,Volkswagen Golf VII,1670000,2016,75602,передний,110,Бензин,хэтчбек 5 дв.,автомат,1.6,серый,
3271,Volvo XC90 II,4050000,2017,101054,полный,235,Дизель,внедорожник 5 дв.,автомат,2.0,коричневый,
3272,Mercedes-Benz GLC Coupe 220 d I (C253) Рестайлинг,6225000,2021,10155,полный,194,Дизель,внедорожник 5 дв.,автомат,2.0,серый,
3273,Chevrolet Lacetti,680000,2008,114832,передний,109,Бензин,седан,автомат,1.6,пурпурный,
3274,Mitsubishi Pajero Sport III Рестайлинг,2900000,2019,59592,полный,181,Дизель,внедорожник 5 дв.,механика,2.4,белый,
3275,Acura MDX II,850000,2007,393000,полный,300,Бензин,внедорожник 5 дв.,автомат,3.7,чёрный,
3276,Audi Q5 Sportback 45 TFSI I (FY),5990000,2021,27729,полный,249,Бензин,внедорожник 5 дв.,робот,2.0,белый,
3277,Kia Rio X IV Рестайлинг,1915000,2022,13281,передний,123,Бензин,хэтчбек 5 дв.,автомат,1.6,белый,
3278,Porsche Cayenne Diesel II Рестайлинг (958),3699000,2014,136569,полный,245,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
3279,BMW 7 серии 730d xDrive VI (G11/G12) Рестайлинг,5600000,2019,86915,полный,249,Дизель,седан,автомат,3.0,чёрный,
3280,Subaru Outback V Рестайлинг,2350000,2018,36111,полный,175,Бензин,универсал 5 дв.,вариатор,2.5,белый,
3281,Volvo XC90 I Рестайлинг,1670000,2013,147057,полный,200,Дизель,внедорожник 5 дв.,автомат,2.4,серый,
3282,Audi A6 allroad III (C7),2144800,2013,211964,полный,245,Дизель,универсал 5 дв.,робот,3.0,чёрный,
3283,Porsche Panamera 4S II Рестайлинг,17100000,2023,100,полный,450,Бензин,хэтчбек 5 дв.,робот,2.9,чёрный,
3284,"Mercedes-Benz CLA 200 I (C117, X117) Рестайлинг",1680000,2017,115862,передний,150,Бензин,седан,робот,1.6,синий,
3285,Toyota Camry US Market VIII (XV70) Рестайлинг,3180000,2022,34006,передний,203,Бензин,седан,автомат,2.5,белый,
3286,Hyundai Palisade I,3400000,2019,42000,передний,200,Дизель,внедорожник 5 дв.,автомат,2.2,синий,
3287,Audi Q7 45 TDI II (4M) Рестайлинг,9250000,2023,41,полный,231,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
3288,BMW X3 20d xDrive III (G01),4249000,2019,47300,полный,190,Дизель,внедорожник 5 дв.,автомат,2.0,синий,
3289,Kia Ceed II Рестайлинг,1075000,2016,150000,передний,130,Бензин,хэтчбек 5 дв.,автомат,1.6,красный,
3290,Hyundai Santa Fe IV,2899999,2018,32000,полный,185,Дизель,внедорожник 5 дв.,автомат,2.0,белый,
3291,Volvo XC90 II,5100000,2019,66692,полный,235,Дизель,внедорожник 5 дв.,автомат,2.0,бежевый,
3292,Land Rover Range Rover IV,4280000,2015,172289,полный,339,Дизель,внедорожник 5 дв.,автомат,4.4,чёрный,
3293,Toyota Land Cruiser Prado 150 Series Рестайлинг 1,2825000,2016,151822,полный,163,Бензин,внедорожник 5 дв.,механика,2.7,белый,
3294,Skoda Kodiaq I,2450000,2020,54588,передний,150,Бензин,внедорожник 5 дв.,робот,1.4,серый,
3295,Genesis G70 I,2810000,2018,99967,полный,247,Бензин,седан,автомат,2.0,серый,
3296,Mercedes-Benz V-Класс 300 d EXOBILITE экстра длинный II,14000000,2022,20,полный,237,Дизель,минивэн,автомат,2.0,чёрный,
3297,Fiat Doblo I Рестайлинг,550000,2011,162400,передний,77,Бензин,компактвэн,механика,1.4,серый,
3298,Land Rover Range Rover Velar I,3930000,2018,93825,полный,180,Дизель,внедорожник 5 дв.,автомат,2.0,белый,
3299,Geely Atlas I,2170000,2021,52000,полный,149,Бензин,внедорожник 5 дв.,автомат,2.4,белый,
3300,Volkswagen Caravelle T6 Рестайлинг,3729000,2021,120000,передний,150,Дизель,минивэн,механика,2.0,чёрный,
3301,Geely Emgrand 7 II,2149000,2022,25,передний,103,Бензин,седан,вариатор,1.5,белый,
3302,Lexus LX 570 III Рестайлинг,4985000,2015,66258,полный,367,Бензин,внедорожник 5 дв.,автомат,5.7,серый,
3303,Opel Mokka I,1300000,2014,101827,полный,140,Бензин,внедорожник 5 дв.,автомат,1.8,чёрный,
3304,Jeep Wrangler IV (JL),6150000,2021,16621,полный,272,Бензин,внедорожник 3 дв.,автомат,2.0,оранжевый,
3305,BMW X4 28i I (F26),2280000,2015,130707,полный,245,Бензин,внедорожник 5 дв.,автомат,2.0,синий,
3306,Audi A3 II (8P) Рестайлинг 2,730000,2012,174537,передний,105,Бензин,хэтчбек 5 дв.,робот,1.2,чёрный,
3307,Hyundai H-1 II Рестайлинг 2,3190000,2018,33865,задний,170,Дизель,минивэн,автомат,2.5,коричневый,
3308,Geely Coolray I,2350000,2021,23718,передний,150,Бензин,внедорожник 5 дв.,робот,1.5,белый,
3309,Audi Q5 I (8R) Рестайлинг,2150000,2016,170008,полный,180,Бензин,внедорожник 5 дв.,автомат,2.0,серый,
3310,Land Rover Discovery Sport I Рестайлинг,6195000,2022,1139,полный,249,Бензин,внедорожник 5 дв.,автомат,2.0,синий,
3311,Audi Q3 Sportback 40 TFSI I (F3),4197000,2020,51446,полный,180,Бензин,внедорожник 5 дв.,робот,2.0,серый,
3312,Audi A6 40 TDI V (C8),3797000,2019,60000,полный,204,Дизель,седан,робот,2.0,белый,
3313,Kia Sportage IV Рестайлинг,2300000,2019,90000,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,чёрный,
3314,BMW X5 30d IV (G05),7599000,2020,34788,полный,265,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
3315,Land Rover Range Rover IV Рестайлинг,9499000,2019,65000,полный,339,Дизель,внедорожник 5 дв.,автомат,4.4,коричневый,
3316,LADA (ВАЗ) Niva Legend,980000,2021,6057,полный,83,Бензин,внедорожник 3 дв.,механика,1.7,серебристый,
3317,Volvo V90 Cross Country I,3945000,2019,51578,полный,190,Дизель,универсал 5 дв.,автомат,2.0,серый,
3318,Jeep Wrangler IV (JL),5495000,2020,36869,полный,272,Бензин,внедорожник 5 дв.,автомат,2.0,красный,
3319,Opel Astra GTC H Рестайлинг,389000,2007,258679,передний,140,Бензин,хэтчбек 3 дв.,автомат,1.8,чёрный,
3320,Toyota Highlander II (U40) Рестайлинг,1635000,2011,115000,полный,273,Бензин,внедорожник 5 дв.,автомат,3.5,белый,
3321,Hyundai Palisade I,3650000,2018,72000,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,серый,
3322,BMW X6 35i II (F16),2990000,2016,149000,полный,306,Бензин,внедорожник 5 дв.,автомат,3.0,чёрный,
3323,Kia Carnival IV,4980000,2023,22,передний,199,Дизель,минивэн,автомат,2.2,чёрный,
3324,Volkswagen Golf VII,760000,2013,112000,передний,105,Бензин,хэтчбек 5 дв.,механика,1.2,чёрный,
3325,Kia Sorento III Prime,2155000,2017,155000,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,чёрный,
3326,Mercedes-Benz G-Класс AMG 63 AMG II (W463),23000000,2021,5500,полный,585,Бензин,внедорожник 5 дв.,автомат,4.0,серый,
3327,Volkswagen Tiguan II,1839000,2017,105298,передний,150,Бензин,внедорожник 5 дв.,робот,1.4,бежевый,
3328,Subaru Impreza III,525000,2007,355500,полный,107,Бензин,хэтчбек 5 дв.,автомат,1.5,серый,
3329,Bentley Continental GT III,33700000,2019,20000,полный,635,Бензин,кабриолет,робот,6.0,серый,
3330,Chevrolet Niva I Рестайлинг,535000,2012,96145,полный,80,Бензин,внедорожник 5 дв.,механика,1.7,белый,
